,text,user,location,Sentiment_Polarity,Expression Label
0,RT @TimFullerton: Here is Joe Biden ending Rudy Giuliani's presidential campaign in 2007 with one of the greatest burns of all time. https:…,nononsense4ver,,1,positive
3,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,Sundaysrealtalk,,0.8,positive
6,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",dbj351_diane,,0.068181818,positive
7,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,LeafysBby,Ya Mommas House,0.25,positive
9,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ggsky3,"Mohegan, CT",0.25,positive
13,RT @TheTweetOfJohn: A half-dozen other Trump advisers have said that they are concerned Mr. Giuliani is damaging not only Mr. Trump’s remai…,jackthecat11,"Washington, DC",-0.0625,negative
14,RT @NightlyPolitics: Joe Biden won the election with the most votes in American history! Pass it on.,dakotawolfie,,0.25,positive
15,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,shelc_latortue,broward,0.25,positive
16,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,WhisperingLava,non ya business,0.25,positive
17,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,JJKALE2,Unceded Gadigal Country,0.25,positive
18,"RT @jomalleydillon: 306. Joe Biden, Kamala Harris, the best team in politics, and nearly 80 million Americans did this.",Mari2218,"Boston, MA",0.55,positive
19,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,JustJaalen,"Mesa, AZ",0.25,positive
21,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,LovelyNae704,In my own world!!,0.25,positive
23,"@realDonaldTrump 306.  

Joe Biden.  

Massive Landslide.  

Historic voter turnout.  

Blowout of Popular Vote by 5+ Million.

Donald Fired—SORE LOSER! https://t.co/unErvC27hq",RAGreen7,,0.25,positive
24,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",kara0ke_k8,,0.25,positive
25,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,kdkeane,"Baltimore, Maryland",0.25,positive
26,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,_LoverOfCats_,"Chicago, IL",0.25,positive
27,"RT @TheRickyDavila: MAGA redhat wearing grifter Kayne threatens to leave the US after Joe Biden and Kamala Harris win.

Bye, we hardly ever…",JamesKennethBo2,,0.254166667,positive
28,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",nneill2,,0.2,positive
29,RT @HKrassenstein: @realDonaldTrump Make America Great Again by letting Joe Biden take over!,lawrwbeck,"Bonita Springs, FL",1,positive
30,"Joe Biden has 306 Electoral votes.  Trump has 232. 
Joe Biden won the Presidential election by a landslide &amp; it was fair &amp; square.",sdr_medco,United States,0.7,positive
