,text,user,location,Sentiment_Polarity,Expression Label
0,@mbell000 @BenRiversTweets @rosamerdo @BobbyReagan2 @DwayneNeal12 @Marlo_Rees @Kristie14820841 @HKrassenstein @realDonaldTrump I believe you do want what’s best for this country. But I believe that you are misguided by Trumpism. Trump doesn’t even do the right thing when people are looking. Just today he said he doesn’t want to give NY the vaccine b/c Cuomo said something mean about him.,AshleySoShy,,0.324404762,positive
2,@Deborah79861489 @thevivafrei @kylegriffin1 @realDonaldTrump The vast amount of havoc attributed to Trump came out of the childish prepubescent tantrums of those irrationally &amp; ideologically possessed by their hatred towards him. These are mostly those willing to be spoon fed opinions by the very corporate establishment that he threatened.,StayPatriotic,Earth ,0.11,positive
3,"@PauletteParis1 @realDonaldTrump I’m sorry. We cancelled Thanksgiving &amp; likely 🎄 too today- my 2 yr old grandson woke up &amp; asked his mom if 👵🏻&amp; 👴 were coming to sit outside by the 🔥 tonight😢

That’s sad enough-a grandpa 👴 &amp; 👵🏻 that only can sit outside-but a  👵🏻 &amp; 👴 who aren’t coming for.... long 😭",KimDonovanK2,"Missouri, USA",-0.135714286,negative
6,"RT @JuddPDeere45: THIS IS HUGE: Because of the leadership of @realDonaldTrump and Operation Warp Speed, there will be enough vaccine dozes…",nursechill81,,0.2,positive
8,"@realDonaldTrump @PeteHegseth @seanhannity People bet on you, and you let 100s of Thousands Die.....and you Scream poor me......",luuzenit,Southern California,-0.4,negative
11,@realDonaldTrump The best you can come up with in your hopeless search for fraud is one case 26 years ago? Wasn’t that when you were an old nasty man partying with very young girls?,SnazBj,,0.0575,positive
12,@StopherBuck @realDonaldTrump Aka.. 4 more years 😉,BrookeaDavis27,,0.5,positive
14,@claire_colie @realDonaldTrump Scan the upc lol! https://t.co/mfj1zIS7YC,dana_banks_,"Philadelphia, PA",1,positive
19,@realDonaldTrump @PeteHegseth @seanhannity I actually think the best thing I could do is bet against Donald Trump right now.,J04116834,,0.428571429,positive
21,@BlueRobotDesign @DanScavino @realDonaldTrump Stealing is not winning,RobertW40333752,,-0.25,negative
22,@hoodietrades @DPWIMM @realDonaldTrump You mean you as in your racists voted for him.,sweetsereniteee,,-0.3125,negative
23,RT @tedlieu: Dear @realDonaldTrump: Hate crimes surged against Asian Americans this year. You added fuel to the fire by making racist state…,davidlwashburn,"Tacoma, Washington",-0.4,negative
24,@AndyOstroy @realDonaldTrump @PeteHegseth @seanhannity DJT losing his shit is life!,imchrissystarr,"Ohio, USA",-0.25,negative
25,@DanScavino @realDonaldTrump LOVE,BIG_SXE,"Illinois, USA",0.5,positive
27,"@realDonaldTrump @PeteHegseth @seanhannity WOW!
Trump's hand-picked Federal Election Security Executive confirms that this was the most secure election in US History. 
Benjamin Hovland will probably be fired on Monday, if not over the weekend. 
I think he deserves a The Profile in Courage Award. 

https://t.co/pGP3ERxfNU",rickysteele,"Atlanta, Georgia",0.341666667,positive
28,@mtgreenee @realDonaldTrump @CollinsforGA @LLinWood @KLoeffler @sendavidperdue @BrianKempGA @GaSecofState @DavidShafer Georgia Republicans insisted on using Dominion machines.  The Republican governor of Georgia lobbied for them.  His former chief of staff is on Dominion's payroll.  You don't seem very bright.,PTovarishch,,0.455,positive
29,@smc429 @realDonaldTrump @GOP There has to be some  reason behind their cover of supporting a  defeated president.I don’t trust Lindsey Graham or Mitch McConnell,DrSeussical,,-0.075,negative
31,"RT @murray_nyc: @realDonaldTrump FANTASY LAND

These tweets from Trump about the election results are getting more and more absurd. Actuall…",mitchell_happy,Florida,0.166666667,positive
33,"@realDonaldTrump @JorkolSheila @PeteHegseth @seanhannity If we only counted those who voted on Election day and the mail in vote from soldiers abroad, we'll see that President Trump won by the highest margins in history. The whole process through which the mail in ballots were sent out, filled and returned needs to be investigated. https://t.co/3xej74OtCX",tasetipresident,Taseti,0.2,positive
37,"@realDonaldTrump Seven hundred thousand ballots. 

Is there anyone actually stupid enough to believe this idiot?

You did not win Pennsylvania, or Georgia (not to mention quite a few others.)

It's over. @JoeBiden &amp; @KamalaHarris won, as did Democracy in general.

#TimeToConcede",Jake_West_On_It,Proud Liberal Heretic,-0.358333333,negative
38,@realDonaldTrump great!!!!,ezra75497486,,1,positive
40,RT @JohnFeal1: Friends-@realDonaldTrump yesterday 5 US Soldiers died. Not one word from you as Commander in Chief. Your failure as Presiden…,j2CC1,"Massachusetts, USA",-0.316666667,negative
42,"@WomenforTrump @realDonaldTrump @LouieGohmertTX1 In 2016, Trump won with 304 electoral votes and called it ""a landslide,"" though he lost the popular vote by 3 million. In 2020, Biden got 306 electoral votes and won the popular vote by 5 million. He got clobbered.",alfabetbob,,0.6,positive
43,RT @GOP: “Our investment will make it possible for the vaccine to be provided by Pfizer free of charge.”—@realDonaldTrump,kamina1703,,0.2,positive
44,"@mackeraii @KortKrimson @Marc_I_Williams @TenneyNow @dmoefc @TheRightMelissa @realDonaldTrump @BreitbartNews I believe you no need to look it up, but as I have maintained only species that are BUILT for that can do that.  They have the biological tools to switch from male to female. 

Humans don't have this ability. They do it for real 100% Humans be lying.",CigarsHenny,,0.05,positive
46,"@DanScavino @realDonaldTrump This means nothing. All that matters is the votes, and 74 million is greater than 71 million.",grranola,in the present,0.5,positive
49,@pizzaslice711 @realDonaldTrump @PeteHegseth @seanhannity Wrong,CHKnotts1,,-0.5,negative
50,"@BJHeart89 @CRRJA5 @realDonaldTrump Apparently it did. 

A tiny percentage of the population overruled the will of the people.",Fran_powah,,0.025,positive
51,RT @ProjectLincoln: Today would be a beautiful day for @realDonaldTrump to concede.,giles_whitaker,"Nashville, TN",0.85,positive
52,"RT @ScottPresler: @realDonaldTrump Keep fighting until every legal vote is counted &amp; audited. 

See you all this Saturday at the Freedom Pl…",dettagliostudio,roswell,0.2,positive
53,@realDonaldTrump @BrianKempGA AT&amp;T selling CNN. Ratings in the toilet especially without Trump to attack 24/7. Trump family buy CNN trash the talking heads.,Anthony61586543,,-0.016666667,negative
54,@realDonaldTrump It was In 1994 you idiot.,GillCarless,"Sydney, New South Wales",-0.8,negative
56,@realDonaldTrump @BrianKempGA Watching Team Trump rail against the election results is like watching a severely intoxicated person try to walk in a straight line.,SusBoz108,,0.2,positive
57,There is a straight line from spreading baseless nonsense about Obama's birth certificate...to this https://t.co/aI6w32a510,ilyamarritz,Nueva York,0.2,positive
58,@PauletteParis1 @realDonaldTrump I am proud of you. I know it's hard. #ThisTimeNextYear,carpediemer52,"British Columbia, Canada",0.254166667,positive
59,"RT @GeraldoRivera: Just had heartfelt phone call w friend @realDonaldTrump who said he's a ""realist"" who'll do the""right thing"" But he want…",gregdavies99,"Michigan, USA",0.142857143,positive
61,@IvankaTrump @realDonaldTrump Us hard work us good thinking ur nation futer .very bright,chala_aruna,,0.369444444,positive
62,@TheLeoTerrell @realDonaldTrump @seanhannity @FoxNews @BlackVoices4DJT @Newsweek @newsmax @DanaAlexaNews @RealCandaceO My guess is you didn't witness or play dumb as Trump played his white card to justify his greatness over the summer,WhoCare08799028,,-0.1875,negative
66,@JumptyTrumpty @realDonaldTrump Just one of the disgusting things Trump did that @JoeBiden can fix.,PhyddleDD,"Metro Atlanta, GA",-1,negative
68,"RT @thevivafrei: The irony is that people calling @realDonaldTrump a “toxic little man”, or whatever variation they have formulated on thei…",pumpkin_shells,,-0.1875,negative
70,"RT @stuartpstevens: “Syphilis can invade the nervous system at any stage of infection, &amp; causes a wide range of symptoms, including headach…",CalWSportsFan,"Vancouver, British Columbia",-0.1,negative
73,RT @CaslerNoel: Trump said today: “I will not be going to a lockdown” who wants to explain to him how prison works? @realDonaldTrump,ReCifer21,"Texas, US",0.2,positive
75,I’m so tired of this cry baby https://t.co/1fAwkGVfrA,LlFEOFJERM,#BLM,-0.4,negative
77,"RT @CSinclairtv: ""This administration will NOT be going into a lockdown. Lockdowns cost lives. The cures cannot be worse than the problem i…",melchiikathleen,,-0.4,negative
81,"RT @RepThomasMassie: There was never a bad time, but now would be an excellent time for @realDonaldTrump to pardon @Snowden, pardon  #Julia…",Jenkdafied,This decent mortal shell,0.675,positive
82,RT @WhiteHouse: LIVE: President @realDonaldTrump delivers an update on Operation Warp Speed https://t.co/6UQ0SZMsCQ,EdwardzSong2,USA ,0.136363636,positive
83,@realDonaldTrump @BrianKempGA Does Melania already have her bags packed? Divorce papers ready... asking for a friend,Debbie39259237,,0.2,positive
84,@eugenegu @realDonaldTrump @PeteHegseth @seanhannity Who else wonders if his extreme narcisism gaslighting threats and detachtment from reality is an adverse reaction to the vaccine .,Spiritu44193060,United States,-0.125,negative
86,@realDonaldTrump why don't we just recount the whole thing I mean Ohio was one of the first to be finished im sure our state has mail in votes uncounted,manicmama_,13:12,0.159375,positive
87,RT @HKrassenstein: @realDonaldTrump Even your own lawyers said in court that they didn't see any widespread voter fraud.  Your legal team l…,Chriscatty,UNITED STATES,0.4,positive
88,"RT @davidchapman141: .@realDonaldTrump should hold a press conference on the legal battle &amp; recount effort, but only invite local reporters…",Judgesurreal777,America,0.066666667,positive
89,"RT @TheRealHoarse: @realDonaldTrump I love that Twitter has moved on to just tagging you with “Nah, you lost.” https://t.co/F0Sj0TcX1P",HiJCP,San Francisco,0.5,positive
91,"@realDonaldTrump #Loser
Get over it
All your claims are not true",alettoocean79,,-0.175,negative
94,"Friends -@realDonaldTrump so let me get this straight Chunks,you all are having a Million MAGA March tomorrow in DC? This is a great opportunity for https://t.co/TDJsqmQxbh to hand out free kits and all local dentists to off free evaluations to all the Paper Patriots who show up!",JohnFeal1,Nesconset,0.38,positive
95,@realDonaldTrump FAKE ELECTION FRAUD!,miksom1,"Fort Worth, TX",-0.625,negative
96,@GregBak25494372 @KaneAlysha @StopherBuck @realDonaldTrump that is why the fraud...christ does this need to be spoonfed to you? Go and look it up do something besides screeching that its wrong.,VetforT,,-0.5,negative
98,"@realDonaldTrump You go, Mr. President. Keep after them. Honest and fair elections always! I.S.A.",Tom_Daniels_VO,"Cleveland-Akron-Canton, OH",0.7375,positive
